location,total_sqft,BHK,bath,price
1st Phase JP Nagar,1875.0,3,3.0,167.0
1st Phase JP Nagar,1500.0,5,5.0,85.0
1st Phase JP Nagar,2065.0,3,4.0,210.0
1st Phase JP Nagar,2059.0,3,3.0,225.0
1st Phase JP Nagar,1394.0,2,2.0,100.0
1st Phase JP Nagar,1077.0,2,2.0,93.0
1st Phase JP Nagar,1566.0,2,2.0,180.0
1st Phase JP Nagar,840.0,1,2.0,50.0
1st Phase JP Nagar,1590.0,3,3.0,131.0
1st Phase JP Nagar,2180.0,3,3.0,210.0
1st Phase JP Nagar,1180.0,2,2.0,88.5
1st Phase JP Nagar,1200.0,2,2.0,86.0
1st Phase JP Nagar,1394.0,2,2.0,85.0
1st Phase JP Nagar,2077.0,3,3.0,175.0
1st Phase JP Nagar,1205.0,2,2.0,85.0
1st Phase JP Nagar,900.0,2,2.0,75.0
2nd Phase Judicial Layout,1450.0,3,2.0,50.75
2nd Phase Judicial Layout,1150.0,2,2.0,40.25
2nd Phase Judicial Layout,1350.0,3,2.0,47.25
2nd Phase Judicial Layout,1350.0,3,2.0,47.25
2nd Phase Judicial Layout,900.0,2,2.0,41.0
2nd Phase Judicial Layout,1681.0,3,3.0,69.0
2nd Phase Judicial Layout,1350.0,3,2.0,47.25
2nd Phase Judicial Layout,1150.0,2,2.0,40.25
5th Phase JP Nagar,1075.0,2,2.0,60.0
5th Phase JP Nagar,1150.0,2,3.0,52.5
5th Phase JP Nagar,1256.0,2,2.0,62.8
5th Phase JP Nagar,1207.0,2,2.0,63.0
5th Phase JP Nagar,1725.0,3,2.0,100.0
5th Phase JP Nagar,1440.0,2,2.0,60.0
5th Phase JP Nagar,1700.0,3,2.0,100.0
5th Phase JP Nagar,2500.0,5,5.0,110.0
5th Phase JP Nagar,600.0,1,1.0,30.0
5th Phase JP Nagar,1390.0,2,2.0,65.0
5th Phase JP Nagar,1256.0,2,2.0,62.8
5th Phase JP Nagar,1000.0,2,2.0,48.0
5th Phase JP Nagar,1350.0,3,2.0,75.0
5th Phase JP Nagar,552.0,1,1.0,23.5
5th Phase JP Nagar,1200.0,2,2.0,51.0
5th Phase JP Nagar,1030.0,2,2.0,57.0
5th Phase JP Nagar,1200.0,2,2.0,68.0
5th Phase JP Nagar,1190.0,2,2.0,61.8
5th Phase JP Nagar,4000.0,5,5.0,170.0
5th Phase JP Nagar,1080.0,2,2.0,53.0
5th Phase JP Nagar,1041.0,2,2.0,54.0
5th Phase JP Nagar,812.0,2,2.0,42.0
5th Phase JP Nagar,1010.0,2,2.0,57.0
5th Phase JP Nagar,1075.0,2,2.0,60.0
6th Phase JP Nagar,1192.0,2,2.0,74.0
6th Phase JP Nagar,1180.0,2,2.0,80.0
6th Phase JP Nagar,3245.0,4,4.0,250.0
6th Phase JP Nagar,1645.0,3,3.0,100.0
6th Phase JP Nagar,1140.0,2,2.0,65.0
6th Phase JP Nagar,2040.0,3,3.0,200.0
6th Phase JP Nagar,1213.0,2,2.0,63.0
6th Phase JP Nagar,1216.0,2,2.0,60.0
6th Phase JP Nagar,1460.0,2,2.0,80.0
6th Phase JP Nagar,2003.0,3,3.0,200.0
6th Phase JP Nagar,1810.0,3,3.0,131.0
6th Phase JP Nagar,1515.0,3,2.0,135.0
6th Phase JP Nagar,1192.0,2,2.0,75.0
6th Phase JP Nagar,1280.0,2,2.0,88.0
7th Phase JP Nagar,1080.0,2,2.0,72.0
7th Phase JP Nagar,1270.0,2,2.0,93.0
7th Phase JP Nagar,1420.0,3,2.0,100.0
7th Phase JP Nagar,1850.0,3,3.0,150.0
7th Phase JP Nagar,1245.0,2,2.0,94.0
7th Phase JP Nagar,1175.0,2,2.0,82.0
7th Phase JP Nagar,1400.0,3,2.0,95.0
7th Phase JP Nagar,2225.0,3,3.0,160.0
7th Phase JP Nagar,1050.0,2,2.0,71.0
7th Phase JP Nagar,1100.0,2,2.0,46.0
7th Phase JP Nagar,918.0,2,2.0,50.49
7th Phase JP Nagar,1450.0,3,2.0,100.0
7th Phase JP Nagar,1190.0,2,2.0,49.98
7th Phase JP Nagar,1420.0,3,2.0,96.0
7th Phase JP Nagar,1680.0,3,3.0,120.0
7th Phase JP Nagar,980.0,2,2.0,69.0
7th Phase JP Nagar,1180.0,2,2.0,72.0
7th Phase JP Nagar,1400.0,3,3.0,115.0
7th Phase JP Nagar,1270.0,2,2.0,83.0
7th Phase JP Nagar,2503.0,4,4.0,188.0
7th Phase JP Nagar,2200.0,3,3.0,190.0
7th Phase JP Nagar,1575.0,3,2.0,110.0
7th Phase JP Nagar,1850.0,3,3.0,140.0
7th Phase JP Nagar,1575.0,3,2.0,120.0
7th Phase JP Nagar,1850.0,3,3.0,150.0
7th Phase JP Nagar,1680.0,3,3.0,120.0
7th Phase JP Nagar,1175.0,2,2.0,82.5
7th Phase JP Nagar,1215.0,2,2.0,90.0
7th Phase JP Nagar,1050.0,2,2.0,75.0
7th Phase JP Nagar,1300.0,3,3.0,89.13
7th Phase JP Nagar,1130.0,2,2.0,73.0
7th Phase JP Nagar,1450.0,3,3.0,100.0
7th Phase JP Nagar,1050.0,2,2.0,50.0
7th Phase JP Nagar,1275.0,2,2.0,87.0
